Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL,Fill In?
Record,Airborne,Flying Burrito Bros,1976,Country Rock,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2f/ed/91/2fed9111-20c6-65a8-1c93-d9bf15090af6/196872689235.jpg/600x600bb.jpg,
Record,Beat This,The Aesthetics,2018,Power Pop,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/2e/f5/71/2ef5718c-1a70-32bf-4c44-c6d30ea9ad0b/814519024354.jpg/600x600bb.jpg,
Record,The World of,Flatt and Scruggs,1972,Bluegrass,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music62/v4/a2/c4/38/a2c4385a-7504-23db-5f92-b3c9d6ed1c80/886444413008.jpg/600x600bb.jpg,
Record,Voyages,Kevin Roth,1986,Folk,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music/7d/2b/b2/mzi.hyddleic.tif/600x600bb.jpg,
Record,And the Destroyers,George Thorowood,1992,,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/59/73/35/597335e0-244e-2fbb-8146-9db20c0d885f/13UMGIM49915.rgb.jpg/600x600bb.jpg,
Record,LAst Chance,Chip Taylors,1973,Country Rock,US,,"""H2""",https://i.discogs.com/7OcoNmh85cB_l00TaPWZFNjEdHFX8fEGQw02Ix186fU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNjky/OTktMTMzNTU5NTk4/My5qcGVn.jpeg,
Record,Elephant Mountain,Youngbloods,1969,"Folk Rock, Psychedelic Rock",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music/v4/6c/11/fc/6c11fcfd-6d1a-45e4-f552-0ded13b1ea26/886444447232.jpg/600x600bb.jpg,
Record,"Guiatrs, Cadillacs, etc.",Dwight Yoakam,1986,,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/c4/23/b2/c423b24b-0d25-d570-e36b-19be9b0ddc49/603497838110.jpg/600x600bb.jpg,
Record,Buenas Noches from a Lonely Room,Dwight Yoakam,1988,"Country, Bakersfield Sound",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/da/1a/f2/da1af24d-71d9-035a-7017-111a1ce091f0/603497893607.jpg/600x600bb.jpg,
Record,Time to Move On,Glenn Yarbrough,1964,"Country, Folk",US,,"""H2""",https://lastfm.freetls.fastly.net/i/u/300x300/739f07101fb3eb7014d6f1536d95d755.jpg,
Record,Womad Talking Book,Various Artists,1985,"Griot, Celtic, Gamelan, Cumbia, Aboriginal, African, Soukous, Folk, Soca",UK,,"""H2""",https://i.discogs.com/YJIl6uZLK_xI2BdfV_TF29IlQ7Ug0fFtErtRJ54REcQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5ODUy/NTMtMTQyMTkxMTkz/MS0yNjEyLmpwZWc.jpeg,
Record,The Magical World of,Roger Whittaker,1975,"Children's, Stage & Screen",UK,,"""H2""",https://i.discogs.com/sBEWGbZd153aliLqWyhL-nJn_QsDY0N7lV3M2CpWxDw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NjY5/NzYtMTI3Njc5NzI4/My5qcGVn.jpeg,
Record,Two Days in November,Doc and MErle Watson,1974,"Country Blues, Folk",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/0a/e1/f8/0ae1f88a-f723-2ef1-afba-9e3c04b15ead/00015891388953.jpg/600x600bb.jpg,
Record,Then and Now,Doc and MErle Watson,1977,"Country Blues, Country, Folk",US,,"""H2""",https://lastfm.freetls.fastly.net/i/u/300x300/1eaf515f227b46118f8f545691ff3ae3.png,
Record,Big Earful,Claudia Schmidt,1987,"Folk, Folk Rock",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music/y2005/m04/d18/h12/s05.dvpyiwih.jpg/600x600bb.jpg,
Record,Family Portrait,Earl Scruggs Revue,1976,"Country, Country Rock, Bluegrass",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music/f4/fc/cc/mzi.jahefqyw.jpg/600x600bb.jpg,
Record,Deadlines,Strawbs,1978,Prog Rock,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/fe/07/75/fe0775f8-5f12-1101-4470-6bb41f53518f/193483948485.jpg/600x600bb.jpg,
Record,Harpes Du Nouvel Age,Alan Stivell,1986,"Folk Rock, Folk",US,,"""H2""",https://lastfm.freetls.fastly.net/i/u/300x300/acae6bd780dbdc1817ccc2ec9f1d021a.jpg,
Record,Stephen Stills,Stephen Stills,1970,Blues Rock,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/cd/31/3a/cd313afd-f516-4274-5dae-bcde65d57727/081227928964.jpg/600x600bb.jpg,
Record,Past Present and Future,Al Stewart,1974,Pop Rock,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music/13/c9/d1/mzi.jlmtcfmw.jpg/600x600bb.jpg,
Record,Wholly Humble Heart,Martin Stephenson,1988,"Blues Rock, Acoustic, Indie Rock, Folk",UK,,"""H2""",https://i.discogs.com/eBAhBC_0aCuhkEganZAwS2NbSPuy_T-5IHCqFRxz4Ms/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Nzg1/ODMtMTI0ODY5MjAz/MS5qcGVn.jpeg,
Record,Sons of the Pioneers,Sons of the Pioneers,2021,Country,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/89/23/77/892377e7-0f63-e3c5-e9c2-c2b87768ee15/456306.jpg/600x600bb.jpg,
Record,The Two Sides Of,The Smothers Brothers,1962,"Comedy, Folk",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/35/7d/46/357d4639-6ee5-6c71-f1e2-d5963cfa7f07/00602527894720.rgb.jpg/600x600bb.jpg,
Record,No Limit,Fred Small,1985,"Folk, World, & Country",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/40/79/19/4079193d-44ab-0766-ff2b-2f30986f75d8/19CRGIM11188.rgb.jpg/600x600bb.jpg,
Record,Corky Siegel,Corky Siegel,1976,Harmonica Blues,US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/0d/92/4d/0d924d0e-4bb8-36da-c3c2-26e0c4a9bba3/23UMGIM05248.rgb.jpg/600x600bb.jpg,
Record,Side of the Road Gang,Side of the Road Gang,1976,"Folk, World, & Country",US,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Features114/v4/55/b9/c1/55b9c183-36d9-ec04-6542-d92b4af5b3c0/dj.frlpydie.jpg/600x600bb.jpg,
Record,Soul Searcher,Shankar,1990,Indian Classical,US,,"""H2""",https://lastfm.freetls.fastly.net/i/u/300x300/65cbb8dfe226e2a206be3eb017fccadc.jpg,
Record,Bluegrass,Shady Grove Band,2001,"Bluegrass, Hillbilly, Country",UK,,"""H2""",https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/6a/ae/a3/6aaea39f-60e2-5139-5a4c-dcfd593d08f1/s05.fbhuesxr.jpg/600x600bb.jpg,
,,,,,,,,,
Record,Bird of Paradise,Djavan,1988,MPB,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/7b/ac/d5/7bacd5be-cc73-d576-8456-e7d324aa569b/886448192435.jpg/600x600bb.jpg,Been Filled
Record,Roger Manning,Roger Manning,1988,Folk Rock,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2d/cf/42/2dcf4244-d7a4-26a0-7865-4b8f50290ba1/889845256137.jpg/600x600bb.jpg,Been Filled
Record,Routes,Ramsey Lewis,1980,"Soul-Jazz, Jazz-Funk",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music127/v4/75/7a/3d/757a3da8-8693-73d7-8f6f-2429c6fe649d/886446489384.jpg/600x600bb.jpg,Been Filled
Record,Messina,Jim Messina,1981,"AOR, Reggae-Pop, Jazz-Rock",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/v4/e3/a2/b7/e3a2b7dc-68fa-c0cb-9629-0e038b11f228/603497904310.jpg/600x600bb.jpg,Been Filled
Record,Letter From Home,Pat Metheny Group,1989,"Contemporary Jazz, Fusion",Europe,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/96/fc/ff/96fcffbf-8e60-3acd-82e7-1f5422520df0/75597941166.jpg/600x600bb.jpg,Been Filled
Record,Joyride,Joyride,1991,"Pop Rock, Ballad, Europop",Europe,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/68/a4/0d/68a40dc9-210a-25da-09fa-4e0de3820e6d/075679602978.jpg/600x600bb.jpg,Been Filled
Record,The Savoy Sessions,Erroll Garner,1985,Swing,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/47/f6/94/47f694a9-3ec8-b024-2f3a-1ec13880abbe/00888072059283.rgb.jpg/600x600bb.jpg,Been Filled
Record,Volume,SWA,1991,"Alternative Rock, Jazz-Rock, Punk, Hardcore",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/df/5d/0f/df5d0fee-f61f-51ac-69cb-69777ef61425/889845205234.jpg/600x600bb.jpg,Been Filled
Record,Everything's Coming Up Rosie,Rosemary Clooney,1977,Swing,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/b5/20/d8/b520d8ec-46b3-162f-a0b4-7bca10115bc7/00013431404729.rgb.jpg/600x600bb.jpg,Been Filled
Record,Wizard,Matrix,1978,Fusion,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/be/92/cd/be92cdab-be4d-042a-13a4-f447018bc079/603497859368.jpg/600x600bb.jpg,Been Filled
Record,Concord Super Band,Scott Hamilton,1980,"Bop, Swing",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/64/d1/da/64d1dacc-3ad4-d44d-ebbe-8999a2a8ddb9/00013431481928.rgb.jpg/600x600bb.jpg,Been Filled
Record,Live at Carnegie Hall,Stephane Grappelli,1984,Swing,US,,"""C1""",https://i.discogs.com/3innw87WcTEjI1t0bAg9f9TaudZmQOPI_hTKB-N0t-Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NDIx/MTItMTc2NzAyNDg3/NC04OTM1LmpwZWc.jpeg,Been Filled
Record,Oleo,Urbie Green,1978,Jazz,US,,"""C1""",https://i.discogs.com/ixmf8dzKg__bHMRKcw7o5wUVhCTSRSueJy0Vnud9CYY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MTQz/NzAtMTMzMzQ2ODYw/Mi5qcGVn.jpeg,Been Filled
Record,Play with us Tonight,Rolly Gray and Sunfire,1983,Funk,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/32/7e/9d/327e9d2f-a180-7e52-fe42-fc5d791553a7/190394422677.jpg/600x600bb.jpg,Been Filled
Record,Killer on the Rampage,Eddy Grant,1983,"Dub, Disco, Synth-pop, Reggae-Pop",US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/34fd1c7ab0aa1390726550daa0b8133f.png,Been Filled
Record,Going for Broke,Eddy Grant,1984,"Pop Rock, Reggae-Pop",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/87/b2/b6/87b2b663-63c7-011a-8e98-629598c4f03e/4062548122909.png/600x600bb.jpg,Been Filled
Record,Born Tuff,Eddy Grant,1986,"Reggae, Electro",Europe,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/35c5d37ce8b58d374022a0da537f41f0.jpg,Been Filled
Record,Dream Dancing,Anita Gravine,1984,Vocal,US,,"""C1""",https://i.discogs.com/tqKKtWYPytRWh29xa0lVdj5L393kI7HLq5TNbth3nvA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxNjgx/NDAtMTczMzQxMTc5/Ni05OTYyLmpwZWc.jpeg,Been Filled
Record,Condor,Bert Ligon,1981,"Fusion, Jazz-Funk",US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/e3105a3f674545cca9747845ac64ef19.jpg,Been Filled
Record,What It Is,David Liebman,,Fusion,US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/ceb71e6630b84c18a3213ad605cedaae.jpg,Been Filled
Record,The Two of Us,Ramsey Lewis and Nancy Wilson,1984,"Jazz-Funk, Soul",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/86/48/43/86484320-6324-a518-3fae-d7277b431498/886446533605.jpg/600x600bb.jpg,Been Filled
Record,Safari to New Orleans,Ron Levy's Wild Kingdom,1988,Bayou Funk,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/41/f5/46/mzi.bpjxstvf.jpg/600x600bb.jpg,Been Filled
Record,Ron Levy's Wild Kingdom,Ron Levy's Wild Kingdom,1986,Jump Blues,USA & Canada,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/70/a6/ef/mzi.dxfcjovk.jpg/600x600bb.jpg,Been Filled
Record,Levant Plays Gershwin,Oscar Levant,1955,Modern,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Features/ea/59/c3/dj.ourkbpca.jpg/600x600bb.jpg,Been Filled
Record,A Collection of Her Best,Ketty Lester,,Funk / Soul,US,,"""C1""",https://i.discogs.com/Y9tvj-BibXD4g_V6pznW_ADi3iGj16HTdXwfa0ED9_k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NDg1/MDUtMTY0MTUwMjI5/MS0yMDQ2LmpwZWc.jpeg,Been Filled
Record,There's gonna be Trouble...,Jay Leonhart,1984,"Contemporary Jazz, Post Bop",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/a7/f9/0d/mzi.vlwyygiy.jpg/600x600bb.jpg,Been Filled
Record,From The West,T Lavitz,1987,Smooth Jazz,US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/c9eb3a0a8ff9737a728bb2ae7b4a9c3d.jpg,Been Filled
Record,Iron Path,Last Exit,1988,"Free Jazz, Grindcore",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music117/v4/69/4d/67/694d67ca-7e6a-4b0d-b41e-a714452b0021/0825481407526_1448.jpg/600x600bb.jpg,Been Filled
Record,Playground,Steve Kuhn,1980,Modal,US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/8eaa8055583fa60e06e03e819db6d5bf.jpg,Been Filled
Record,Maria Muldaur,Maria Muldaur,1973,Soft Rock,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a9/f8/93/a9f8937a-498e-15fe-b12f-45e41e0742f9/075992720823.jpg/600x600bb.jpg,Been Filled
Record,Tight Fit,Mr B,1984,Soul,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/66/e3/1e/66e31e3e-8129-4d08-12ee-584a0b7f38e8/0.jpg/600x600bb.jpg,Been Filled
Record,The Story of Bob Moses,Bob Moses,1987,"Avant-garde Jazz, Spoken Word, Contemporary Jazz",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ef/29/b3/ef29b3ba-0eb6-52c0-270c-ee2b7f1f7002/198588316450.jpg/600x600bb.jpg,Been Filled
Record,Long Ago and Far Away,Erroll Garner,1987,Jazz,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/12/be/4a/mzi.wfeawswl.jpg/600x600bb.jpg,Been Filled
Record,It's Ok to listen to the gray voice,Jan Garbarek,1985,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/62/47/a1/6247a1ab-2844-a351-c8d0-64d8d343f685/00042282540621.rgb.jpg/600x600bb.jpg,Been Filled
Record,Eventyr,Jan Garbarek,1981,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d7/c3/0d/d7c30da6-2ea9-1af5-f910-79d3852e25a5/00042282938428.rgb.jpg/600x600bb.jpg,Been Filled
Record,Aftenland,Jan Garbarek,1980,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/0b/25/78/0b2578d3-c3f3-c243-4845-77fd1c863319/00042283930421.rgb.jpg/600x600bb.jpg,Been Filled
Record,Places,Jan Garbarek,1978,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/0d/e3/53/0de35305-736b-c65a-cfc8-94a580f24561/00602547915986.rgb.jpg/600x600bb.jpg,Been Filled
Record,Ladies on the Stage,Millington,1977,"Soul, Ballad",US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/cbe6c0afb0c6ba6512fe7c6b5409d5b3.jpg,Been Filled
Record,Windstorm,Bob Miles,1986,Jazz,US,,"""C1""",https://i.discogs.com/uK4VzVVvwNqu5cG4abdFpfcw-10f_hR9VdV0NlLUOHU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMTYy/Nzg0LTE0OTI3MDUz/MDQtNjY3NC5qcGVn.jpeg,Been Filled
Record,Fusion Is,Barry Miles,1978,Fusion,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/bf/8f/ae/bf8fae2d-52da-2756-b904-17514eba0927/192562519516.jpg/600x600bb.jpg,Been Filled
Record,Right Time,Mighty Diamonds,1976,Roots Reggae,UK,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e5/a7/99/e5a799ba-298c-07e8-2bc1-9c0a33f0cbe6/00724381032954.jpg/600x600bb.jpg,Been Filled
Record,Watercolors,Pat Metheny,1977,"Fusion, Contemporary Jazz",Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/74/46/5e/74465ec9-0ad7-9f14-ea00-3f93a2aa7edd/20UMGIM42267.rgb.jpg/600x600bb.jpg,Been Filled
Record,Offramp,Pat Metheny Group,1982,"Fusion, Contemporary Jazz",Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/49/b1/9c/49b19ca8-9417-2708-cb35-d18d76efb7c5/20UMGIM42327.rgb.jpg/600x600bb.jpg,Been Filled
Record,Rejoicing,Pat Metheny,1984,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/fd/c3/72/fdc37261-3ebf-58ba-b4b4-4b940a4b11c8/20UMGIM42348.rgb.jpg/600x600bb.jpg,Been Filled
Record,80/81,Pat Metheny,1980,"Post Bop, Contemporary Jazz",Germany,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/156afd9a2ce18418efeae562d2078fcc.jpg,Been Filled
Record,"As Falls Wichita, So Falls Wichita Falls",Pat Metheny,1981,"Contemporary Jazz, Fusion",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/39/21/f9/3921f961-a980-ebfe-7c6d-878c3e2ca2b6/20UMGIM42320.rgb.jpg/600x600bb.jpg,Been Filled
Record,Travels,Pat Metheny Group,1983,"Jazz-Rock, Fusion",Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a9/76/3b/a9763bc6-2f85-250e-4e02-2b592c11cb73/20UMGIM42342.rgb.jpg/600x600bb.jpg,Been Filled
Record,Question and Answer,Pat Metheny,1990,"Post Bop, Contemporary Jazz",Europe,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/cd/a1/bb/cda1bb2a-ff50-c268-4d3a-11f69b043dae/075597990973_Cover.jpg/600x600bb.jpg,Been Filled
Record,Live in Concert,Pat Metheny Group,1977,Fusion,US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/000641d56fa44b89bbcd35242b4f6c4f.png,Been Filled
Record,American Garage,Pat Metheny Group,1979,"Fusion, Contemporary Jazz",Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/dc/7e/dc/dc7edc4c-ed9b-6843-41f3-aabcedc693fe/20UMGIM42312.rgb.jpg/600x600bb.jpg,Been Filled
Record,Session,Messenjah,1984,Reggae,Canada,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music2/v4/bf/15/ec/bf15ec65-b4c5-648f-07f0-5e6dba7298dd/825646438020.jpg/600x600bb.jpg,Been Filled
Record,Hidden Treasure,Andy Narell,1979,"Fusion, Afro-Cuban",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/32/59/3e/mzi.ezjufyav.tif/600x600bb.jpg,Been Filled
Record,Sierra,Steve Narahara,1983,Fusion,US,,"""C1""",https://i.discogs.com/_QOg-ha6mZrSBK-4pwOGvxl0_wQgfwhxxR5GyY-yJ4w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5ODky/NzQtMTY3MjcwMTMy/MS01MDMyLmpwZWc.jpeg,Been Filled
Record,Qareeb,Najma,1987,"Fusion, Indian Classical",UK,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/b8/a1/5c/mzi.xdzrlodr.jpg/600x600bb.jpg,Been Filled
Record,Photo Within,Jan Garbarek,2023,Contemporary Jazz,Japan,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/c4/42/9c/c4429c1a-5faa-3d6e-c4cc-a50d9fa336e7/00042284316828.rgb.jpg/600x600bb.jpg,Been Filled
Record,Dis,Jan Garbarek,1977,Contemporary Jazz,Germany,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/68/08/d1/6808d1b0-9b1d-c6f4-10ed-78ef27f55985/00042282740823.rgb.jpg/600x600bb.jpg,Been Filled
Record,JazzFaire,Full Faith,1981,Soul-Jazz,Italy,,"""C1""",https://i.discogs.com/nM2_sueZBj8_XVrkTTHEN88lcon0ThrPNkhiN5KFrc0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MTM1/NDgtMTMxMjk2NjQ4/NC5qcGVn.jpeg,Been Filled
Record,Live,Robert Fripp,1994,Ambient,UK,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/8e/04/c8/8e04c83f-4e68-c66b-eaea-02fbc1eb0b01/633367883520.png/600x600bb.jpg,Been Filled
Record,Duo,Freeway Fusion,1985,"Jazz, Rock",US,,"""C1""",https://lastfm.freetls.fastly.net/i/u/300x300/5f83410ceafb14140ca63b4724dba253.jpg,Been Filled
Record,Dean Frazer,Dean Frazer,1987,Reggae,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/0d/5b/4d/0d5b4db8-30c8-53f5-9606-d4238eecaabd/195375515218_cover.jpg/600x600bb.jpg,Been Filled
Record,Tiger in the Rain,Michael Franks,1979,"Jazz-Funk, Vocal",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/a8/58/7c/mzi.jwtsxusk.jpg/600x600bb.jpg,Been Filled
Record,Sleeping Gypsy,Michael Franks,1977,Jazz-Rock,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/6b/cc/23/mzi.fdmkltsb.jpg/600x600bb.jpg,Been Filled
Record,Previously Unreleased,Michael Franks,2012,"Jazz-Funk, Smooth Jazz, Fusion",France,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/49/85/75/49857531-2f3b-0cb3-454a-d1fb51361a90/06UMGIM21370.rgb.jpg/600x600bb.jpg,Been Filled
Record,Learning to Love,Rodney Franklin,1982,"Smooth Jazz, Jazz-Funk",US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/d7/94/27/d7942774-6f2b-f151-f626-7afe15779786/886447176306.jpg/600x600bb.jpg,Been Filled
Record,Captured,Steve Fowler,1987,Jazz,US,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music/bd/d2/be/dj.xwelvivk.jpg/600x600bb.jpg,Been Filled
Record,If I'd Kissed Her,Four Hundred Blows,2024,"Noisecore, Acoustic, Phonk, Black Metal, Experimental, Free Improvisation, Parody, Field Recording, Dungeon Synth",Ukraine,,"""C1""",https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/1c/f7/ce/1cf7ce26-3a7e-57fa-b50d-277017d93101/400_blows-if-i-kiss-her.jpg/600x600bb.jpg,Been Filled
,,,,,,,,,
Record,Hangin' Out,Joe Newman,1984,Jazz,US,,"""C3""",https://i.discogs.com/P6munVDr_xowHKcEx5WNJgD17E3JMdZsa_1cXFFzJSk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0ODYw/MjItMTUyNjU5ODU4/OC04MjQ4LmpwZWc.jpeg,Been Filled
Record,Newmanism,David Newman,1974,Jazz,US,,"""C3""",https://is1-ssl.mzstatic.com/image/thumb/Music/y2005/m06/d12/h10/s05.xvxocdhq.jpg/600x600bb.jpg,Been Filled
Record,Keep the Dream Alive,David Newman,1978,"Jazz-Funk, Disco",UK,,"""C3""",https://i.discogs.com/9EdJJosdF_O3buEyMkdhKkQ1ADts-5-MpZ1u5ZSmtEQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMjU3/NC0xNjk5NzgzNTk3/LTQ1NzcuanBlZw.jpeg,Been Filled
Record,Resurgence,David Newman,1981,Jazz,US,,"""C3""",https://i.discogs.com/w-2Qy4tCqz-Vc67rMTDAM8nIRCVaus7cT6Y4j3BJoMk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzODcy/MTQtMTUxOTY3NTc5/NS05MDMyLmpwZWc.jpeg,Been Filled
Record,Michael Nesmith,Michael Nesmith,2008,Country Rock,UK,,"""C3""",https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c1/41/59/c14159fa-9a1c-dda7-0bca-3693f8e7c8c1/886447070697.jpg/600x600bb.jpg,Been Filled
Record,Speed of Light,Holly Near,1982,"Folk, Boogie, Soul",US,,"""C3""",https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a2/5d/70/a25d70ce-3f25-d52c-09b9-51e0fdc6fb43/886444612821.jpg/600x600bb.jpg,Been Filled
Record,In Performance,Oregon,1980,"Modal, Free Improvisation, Free Jazz",US,,"""C3""",https://is1-ssl.mzstatic.com/image/thumb/Music/9a/89/0f/mzi.kfkujpsb.jpg/600x600bb.jpg,Been Filled
Record,Betcha,Stanley Turrentine,1979,"Disco, Jazz-Funk, Smooth Jazz",US,,"""C3""",https://is1-ssl.mzstatic.com/image/thumb/Music/v4/c0/59/c4/c059c40e-4d00-5e37-e16d-ddde0fc63524/603497930289.jpg/600x600bb.jpg,Been Filled
